Frequency: Annual,
observation_date,SLEMPTOTLSPZSKEN
1991-01-01,71.183
1992-01-01,70.938
1993-01-01,70.708
1994-01-01,70.597
1995-01-01,70.584
1996-01-01,70.563
1997-01-01,70.438
1998-01-01,70.345
1999-01-01,70.225
2000-01-01,70.345
2001-01-01,70.474
2002-01-01,70.550
2003-01-01,70.721
2004-01-01,70.867
2005-01-01,71.098
2006-01-01,71.286
2007-01-01,71.435
2008-01-01,71.436
2009-01-01,71.481
2010-01-01,71.622
2011-01-01,71.839
2012-01-01,71.978
2013-01-01,72.003
2014-01-01,72.114
2015-01-01,72.235
2016-01-01,72.356
2017-01-01,71.597
2018-01-01,70.883
2019-01-01,70.181
2020-01-01,69.062
2021-01-01,69.505
2022-01-01,69.506
2023-01-01,69.593